   241.995    241.97    0.0023      0.03
   295.223     295.2    0.0018      0.02
   351.932    351.93    0.0018      0.01
    609.32     609.4     0.005      0.02
    768.36    768.56     0.005      0.06
    785.96    785.52      0.08      0.14
   934.056    934.11     0.006      0.11
   1120.29   1120.34     0.006      0.04
   1238.12   1238.18     0.007      0.07
    1377.7   1377.71     0.008      0.08
   1509.21   1509.38      0.01      0.15
   1729.59   1729.62     0.011       0.1
   1764.49   1764.44      0.01      0.05
   1847.43   1847.31     0.013      0.17
   2204.06   2203.72     0.022      0.15
